species code,scientific name,family,order,WoRMS AphiaID
116998,Aequorea,Aequoreidae,Leptothecata,116998
283988,Aequorea africana,Aequoreidae,Leptothecata,283988
157610,Aequorea albida,Aequoreidae,Leptothecata,157610
458698,Aequorea atrikeelis,Aequoreidae,Leptothecata,458698
283989,Aequorea australis,Aequoreidae,Leptothecata,283989
221109,Aequorea coerulescens,Aequoreidae,Leptothecata,221109
283990,Aequorea cyanea,Aequoreidae,Leptothecata,283990
283992,Aequorea floridana,Aequoreidae,Leptothecata,283992
117270,Aequorea forskalea,Aequoreidae,Leptothecata,117270
221111,Aequorea globosa,Aequoreidae,Leptothecata,221111
1558305,Aequorea gongqiuhongae,Aequoreidae,Leptothecata,1558305
283993,Aequorea krampi,Aequoreidae,Leptothecata,283993
717317,Aequorea kurangai,Aequoreidae,Leptothecata,717317
283994,Aequorea minima,Aequoreidae,Leptothecata,283994
509801,Aequorea nanhainensis,Aequoreidae,Leptothecata,509801
1546702,Aequorea neocyanea,Aequoreidae,Leptothecata,1546702
283995,Aequorea papillata,Aequoreidae,Leptothecata,283995
1558306,Aequorea paratetranema,Aequoreidae,Leptothecata,1558306
221108,Aequorea parva,Aequoreidae,Leptothecata,221108
283996,Aequorea phillipensis,Aequoreidae,Leptothecata,283996
458699,Aequorea taiwanensis,Aequoreidae,Leptothecata,458699
283997,Aequorea tenuis,Aequoreidae,Leptothecata,283997
509804,Aequorea tetranema,Aequoreidae,Leptothecata,509804
283998,Aequorea victoria,Aequoreidae,Leptothecata,283998
137654,Aplysia Linnaeus,Aplysiidae,Aplysiida,137654
135281,Atolla vanhoeffeni,Atollidae,Coronatae,135281
135263,Aurelia,Ulmaridae,Semaeostomeae,135263
135306,Aurelia aurita,Ulmariidae,Scyphozoa,135306
1539728,Aurelia ayla,Ulmaridae,Semaeostomeae,1539728
1539747,Aurelia cebimarensis,Ulmaridae,Semaeostomeae,1539747
1539759,Aurelia clausa,Ulmaridae,Semaeostomeae,1539759
292506,Aurelia coerulea,Ulmaridae,Semaeostomeae,292506
1293224,Aurelia colpota,Ulmaridae,Semaeostomeae,1293224
1539760,Aurelia columbia,Ulmaridae,Semaeostomeae,1539760
1393172,Aurelia dubia,Ulmaridae,Semaeostomeae,1393172
1393175,Aurelia hyalina,Ulmaridae,Semaeostomeae,1393175
1539735,Aurelia insularia,Ulmaridae,Semaeostomeae,1539735
287213,Aurelia labiata,Ulmaridae,Semaeostomeae,287213
158199,Aurelia limbata,Ulmaridae,Semaeostomeae,158199
1539758,Aurelia malayensis,Ulmaridae,Semaeostomeae,1539758
220480,Aurelia maldivensis,Ulmaridae,Semaeostomeae,220480
1393176,Aurelia marginalis,Ulmaridae,Semaeostomeae,1393176
1539740,Aurelia mianzani,Ulmaridae,Semaeostomeae,1539740
1539730,Aurelia miyakei,Ulmaridae,Semaeostomeae,1539730
1539744,Aurelia montyi,Ulmaridae,Semaeostomeae,1539744
1485626,Aurelia mozambica,Ulmaridae,Semaeostomeae,1485626
1539761,Aurelia persea,Ulmaridae,Semaeostomeae,1539761
1557192,Aurelia pseudosolida,Ulmaridae,Semaeostomeae,1557192
1539743,Aurelia rara,Ulmaridae,Semaeostomeae,1539743
994646,Aurelia relicta,Ulmaridae,Semaeostomeae,994646
1539746,Aurelia smithsoniana,Ulmaridae,Semaeostomeae,1539746
287214,Aurelia solida,Ulmaridae,Semaeostomeae,287214
1393177,Aurelia vitiana,Ulmaridae,Semaeostomeae,1393177
106362,Beroe ovata,Beroidae,Beroida,106362
135279,Carybdea marsupialis,Carybdeidae,Carybdeida,135279
135295,Cassiopea andromeda,Cassiopeidae,Rhizostomeae,135295
135296,Catostylus tagi,Catostylidae,Rhizostomeae,135296
106363,Cestum veneris,Cestidae,Cestida,106363
135304,Chrysaora hysoscella,Pelagiidae,Scyphozoa,135304
287210,Chrysaora plocamia,Pelagiidae,Scyphozoa,287210
135297,Cotylorhiza tuberculata,Cepheidae,Rhizostomeae,135297
139494,Cymbulia peronii,Cymbuliidae,Pteropoda,139494
135308,Discomedusa lobata,Ulmaridae,Semaeostomeae,135308
135303,Drymonema dalmatinum,Drymonematidae,Semaeostomeae,135303
135396,Forskalia,Forskaliidae,Siphonophorae,135396
117567,Geryonia proboscidalis,Geryoniidae,Limnomedusae,117567
117768,Gonionemus vertens,Olindiidae,Limnomedusae,117768
125823,Hygophum Bolin,Myctophidae,Myctophiformes,125823
