country,harbour_cd,harbour_name
BGR,BGADB,AdaBahcha
BGR,BGAHE,Aheloy
BGR,BGAKH,Akhtopol
BGR,BGALB,Albena
BGR,BGAMO,Amonal
BGR,BGANT,AntonIvanov
BGR,BGARK,Arkutino
BGR,BGASP,AsparuhovoKeya
BGR,BGBAL,Balchik
BGR,BGBLV,Beloslav
BGR,BGBOL,Bolata
BGR,BGBHZ,Buhtazapad
BGR,BG999,Bulgaria-Unknown
BGR,BGBNA,Buna101
BGR,BGBN2,Buna102
BGR,BGBN3,Buna103
BGR,BGBOJ,Burgas
BGR,BGBYL,Byala
BGR,BGCHA,Chayka
BGR,BGCHN,Chernomore
BGR,BGCHM,Chernomorets
BGR,BGCHO,Chukalya
BGR,BGDAL,Dalboka
BGR,BGDNI,Dunavtsi
BGR,BGDUP,Dupnica
BGR,BGDKO,Durankulak
BGR,BGEZE,Ezerets
BGR,BGEZR,Ezerovo
BGR,BGFRE,Frenkliman
BGR,BGGOV,GornaOryahovica
BGR,BGGOZ,GornaOryakhovitsa
BGR,BGHKV,Haskovo
BGR,BGIRA,Irakli
BGR,BGJAM,Jambol
BGR,BGKAM,Kamchia
BGR,BGKRT,Karantinata
BGR,BGKAT,Katunitza
BGR,BGKVN,Kavarna
BGR,BGKBA,KavarnaBuna1
BGR,BGKB3,KavarnaBuna3
BGR,BGKZK,Kazanlak
BGR,BGKZO,Kazashko
BGR,BGKIT,Kiten
BGR,BGKOK,Kokodiva
BGR,BGKON,Konstantinovo
BGR,BGKRA,Kranevo
BGR,BGKRP,Krapets
BGR,BGKRE,Kraymorie
BGR,BGKRH,Krushari
BGR,BGKOL,Kulata
BGR,BGKDG,Kurdzhali
BGR,BGLES,Lesport
BGR,BGLOM,Lom
BGR,BGLZC,Lozenets
BGR,BGLMC,Lyubimets
BGR,BGMCH,MalkaChayka
BGR,BGMTI,MalkoTarnovo
BGR,BGMEC,Mecheto
BGR,BGNES,Nessebar
BGR,BGOBZ,Obzor
BGR,BGOLT,Oltomantsi
BGR,BGOPK,Opaka
BGR,BGORE,Orehovo
BGR,BGOTM,Otmanli
BGR,BGPAN,Panorama
BGR,BGPVL,Pavel
BGR,BGPVN,Pleven
BGR,BGPDV,Plovdiv
BGR,BGPOR,Pomorie
BGR,BGPRI,Primorsko
BGR,BGRLO,Radilovo
BGR,BGRAV,Ravda
BGR,BGREZ,Rezovo
BGR,BGXXX,RISInlandwaterways
BGR,BGRDA,Rodopa1
BGR,BGRD2,Rodopa2
BGR,BGRDZ,Rudozem
BGR,BGRUS,Rusalka
BGR,BGRDU,Ruse
BGR,BGSAR,Sarafovo
BGR,BGSBA,SBA
BGR,BGSEK,SeverEksport
BGR,BGSHA,Shabla
BGR,BGSHK,Shkorpilovtsi
BGR,BGSLS,Silistra
BGR,BGSIN,Sinemorets
BGR,BGSLK,Slivkata
BGR,BGSOF,Sofia
BGR,BGSOZ,Sozopol
BGR,BGSLI,StankeLisitchkovo
BGR,BGSZR,StaraZagora
BGR,BGSTR,Strashimirovo
BGR,BGSVV,SvetiVlas
BGR,BGSWG,Svilengrad
BGR,BGSVI,Svistov
BGR,BGSVG,Svoge
BGR,BGTGV,Targovishte
BGR,BGTOL,Tolbuhin
BGR,BGTPL,Topoli
BGR,BGTRK,Trakata
BGR,BGTRV,Tsarevo
BGR,BGTUZ,Tuzlata
BGR,BGTYL,Tyulenovo
BGR,BGVAR,Varna
BGR,BGVAZ,Varna-Zapad
BGR,BGVRV,Varvara
BGR,BGVES,Veslets
BGR,BGVID,Vidin
BGR,BGVTC,VrskaCuka
BGR,BGYVA,YahtklubVarna
BGR,BGZEL,Zelenka
BGR,BGZLA,Zlatarevo
BGR,BGZVE,Zvezditsa
CYP,CYAFS,AkrotirifishingShelter
CYP,CYAYI,AyiaNapaFishingShelter
CYP,CYTRI,AyiaTriadaFishingShelter
CYP,CYGEO,AyiosGeorgiosFishingShelter
CYP,CY999,Cyprus-Unknown
CYP,CYDFS,DekeliaFishingShelter
CYP,CYLCA,Larnaca
CYP,CYLFS,LarnacaFishingShelter
CYP,CYLAR,LarnacaPort
CYP,CYLAT,LatchiPort
CYP,CYLIM,LimassolNewPort
CYP,CYLOP,LimassolOldPort
CYP,CYNIC,Nicosia
CYP,CYORM,OrmidiaFishingShelter
CYP,CYPFO,PaphosPort
CYP,CYPAR,ParalimniFishingShelter
CYP,CYPOM,PomosFishingShelter
CYP,CYPOT,PotamosFishingShelter
CYP,CYPYR,PyrgosFishingShelter
CYP,CYXYL,XylofagouFishingShelter
CYP,CYZYG,ZygiFishingShelter
ESP,ESADR,Adra
ESP,ESAGA,Agaete
ESP,ESAEM,Alcal
ESP,ESALD,Alcudia
ESP,ESADI,Aldan-Hio
ESP,ESALG,Algeciras
ESP,ESALT,Algorta
ESP,ESALC,Alicante
ESP,ESLEI,Almera
ESP,ESEEJ,Almerimar(ElEjido)
ESP,ESAEQ,Almucar
ESP,ESAQA,Altea
ESP,ESLAA,Ampolla
ESP,ESAZP,Amposta
ESP,ESAND,Andraitx
ESP,ESAAE,Arcade
ESP,ESARN,ArenysdeMar
ESP,ESAER,Ares
ESP,ESARI,Arguinegun
ESP,ESRGA,Arinaga
ESP,ESARW,Armintza
ESP,ESACE,ArrecifedeLanzarote
ESP,ESAVS,Aviles
ESP,ESAYA,Ayamonte
ESP,ESBAD,Badalona
ESP,ESBLE,Barallobre
ESP,ESBDF,Barbate
ESP,ESBCN,Barcelona
ESP,ESBQB,Barquero-Bares
ESP,ESBNU,Baugues
ESP,ESBYN,Bayona
ESP,ESBNI,Benicarlo
ESP,ESBEM,Benidorm
ESP,ESBRM,Bermeo
ESP,ESBTS,Betanzos
ESP,ESBIO,Bilbao
ESP,ESBLA,Blanes
ESP,ESBDN,Bodion
ESP,ESBZS,Bouzas
ESP,ESBVN,Buenavista
ESP,ESBHR,BuenPaso
ESP,ESBUE,Bueu
ESP,ESBRL,Burela
ESP,ESBRX,Burriana
ESP,ESBCD,Bustio
ESP,ESCCZ,CabodeCruz-Boiro
ESP,ESCAP,CabodePalos
ESP,ESCBM,Cabrera
ESP,ESOOP,Cadaques
ESP,ESCAB,CalaBona
ESP,ESCFE,Calafell
ESP,ESCEM,Cala-Ratjada
ESP,ESLEL,CalelladelaCosta
ESP,ESCHR,CaletadelSebo,LaGraciosa
ESP,ESCLP,Calpe
ESP,ESIAS,Camarias
ESP,ESCBD,Cambados
ESP,ESCBL,Cambrils
ESP,ESCMY,Camelle
ESP,ESECP,Campello
ESP,ESCPE,Campelo
