a3_code,scientific_name,species_family,species_order
AAA,Acipenser naccarii,Acipenseridae,ACIPENSERIFORMES
AAB,Acanthopagrus bifasciatus,Sparidae,PERCOIDEI
AAC,Amia calva,Amiidae,AMIIFORMES
AAD,Acipenser dabryanus,Acipenseridae,ACIPENSERIFORMES
AAE,Antennarius analis,Antennariidae,LOPHIIFORMES
AAF,Acipenser fulvescens,Acipenseridae,ACIPENSERIFORMES
AAG,Anguilla bengalensis,Anguillidae,ANGUILLIFORMES
AAH,Acipenser schrenckii,Acipenseridae,ACIPENSERIFORMES
AAI,Acipenser sinensis,Acipenseridae,ACIPENSERIFORMES
AAJ,Anguilla mossambica,Anguillidae,ANGUILLIFORMES
AAK,Acipenser mikadoi,Acipenseridae,ACIPENSERIFORMES
AAL,Anguilla marmorata,Anguillidae,ANGUILLIFORMES
AAM,Acipenser medirostris,Acipenseridae,ACIPENSERIFORMES
AAN,Acipenser nudiventris,Acipenseridae,ACIPENSERIFORMES
AAO,Acipenser oxyrinchus,Acipenseridae,ACIPENSERIFORMES
AAP,Acipenser persicus,Acipenseridae,ACIPENSERIFORMES
AAQ,Anguilla dieffenbachii,Anguillidae,ANGUILLIFORMES
AAR,Anguilla reinhardtii,Anguillidae,ANGUILLIFORMES
AAS,Astacus astacus,Astacidae,REPTANTIA
AAT,Anguilla bicolor,Anguillidae,ANGUILLIFORMES
AAU,Acipenser multiscutatus,Acipenseridae,ACIPENSERIFORMES
AAV,Acaronia vultuosa,Cichlidae,PERCOIDEI
AAW,Anableps anableps,Anablepidae,CYPRINODONTIFORMES
AAX,Aaptosyax grypus,Cyprinidae,CYPRINIFORMES
AAY,Acipenser brevirostrum,Acipenseridae,ACIPENSERIFORMES
AAZ,Aploactis aspera,Aploactinidae,SCORPAENIFORMES
ABA,Albulichthys albuloides,Cyprinidae,CYPRINIFORMES
ABB,Abbottina rivularis,Cyprinidae,CYPRINIFORMES
ABC,Amblypharyngodon microlepis,Cyprinidae,CYPRINIFORMES
ABD,Alburnus albidus,Cyprinidae,CYPRINIFORMES
ABE,Aborichthys elongatus,Balitoridae,CYPRINIFORMES
ABF,Haliotis rufescens,Haliotidae,GASTROPODA
ABG,Haliotis gigantea,Haliotidae,GASTROPODA
ABH,Astroblepus chotae,Astroblepidae,SILURIFORMES
ABI,Alburnoides bipunctatus,Cyprinidae,CYPRINIFORMES
ABJ,Haliotis discus,Haliotidae,GASTROPODA
ABK,Blicca bjoerkna,Cyprinidae,CYPRINIFORMES
ABL,Amblypharyngodon melettinus,Cyprinidae,CYPRINIFORMES
ABM,Haliotis diversicolor,Haliotidae,GASTROPODA
ABN,Acanthobunocephalus nicoi,Aspredinidae,SILURIFORMES
ABO,Amblypharyngodon mola,Cyprinidae,CYPRINIFORMES
ABP,Haliotis midae,Haliotidae,GASTROPODA
ABQ,Abramites eques,Anostomidae,CHARACIFORMES
ABR,Haliotis rubra,Haliotidae,GASTROPODA
ABS,Penaeus aztecus,Penaeidae,NATANTIA
ABT,Amblyrhynchichthys truncatus,Cyprinidae,CYPRINIFORMES
ABU,Abudefduf saxatilis,Pomacentridae,PERCOIDEI
ABV,Alabes parvulus,Gobiesocidae,GOBIESOCIFORMES
ABW,Ablabys binotatus,Tetrarogidae,SCORPAENIFORMES
ABX,Haliotis spp.,Haliotidae,GASTROPODA
ABY,Amblyopsis rosae,Amblyopsidae,PERCOPSIFORMES
ABZ,Ammodytes tobianus,Ammodytidae,TRACHINOIDEI
ACA,Acromycter nezumi,Congridae,ANGUILLIFORMES
ACB,Scapharca broughtonii,Arcidae,BIVALVIA
ACC,Gymnocephalus cernuus,Percidae,PERCOIDEI
ACD,Chlopsis dentatus,Chlopsidae,ANGUILLIFORMES
ACE,Paruroconger drachi,Congridae,ANGUILLIFORMES
ACF,Acestrorhynchus falcatus,Acestrorhynchidae,CHARACIFORMES
ACG,Acanthogobius ommaturus,Gobiidae,GOBIOIDEI
ACH,Salvelinus alpinus,Salmonidae,SALMONIFORMES
ACI,Acnodon normani,Characidae,CHARACIFORMES
ACJ,Japonoconger africanus,Congridae,ANGUILLIFORMES
ACK,Kaupichthys hyoproroides,Chlopsidae,ANGUILLIFORMES
ACL,Heteroconger longissimus,Congridae,ANGUILLIFORMES
ACM,Macrocephenchelys brachialis,Congridae,ANGUILLIFORMES
ACN,Aculeola nigra,Squalidae,SQUALIFORMES
ACO,Coloconger raniceps,Colocongridae,ANGUILLIFORMES
ACP,Chilorhinus platyrhynchus,Chlopsidae,ANGUILLIFORMES
ACQ,Astrocottus leprops,Cottidae,SCORPAENIFORMES
ACR,Acropomatidae,Acropomatidae,PERCOIDEI
ACS,Heteroconger hassi,Congridae,ANGUILLIFORMES
ACT,Paraconger caudilimbatus,Congridae,ANGUILLIFORMES
ACU,Lumiconger arafura,Congridae,ANGUILLIFORMES
ACV,Acanthocepola abbreviata,Cepolidae,PERCOIDEI
ACW,Amblycirrhitus earnshawi,Cirrhitidae,PERCOIDEI
ACX,Acanthaxius caespitosa,Axiidae,REPTANTIA
ACY,Parabathymyrus macrophthalmus,Congridae,ANGUILLIFORMES
ACZ,Cambaridae,Cambaridae,REPTANTIA
ADA,Aspidoras albater,Callichthyidae,SILURIFORMES
ADB,Adontosternarchus balaenops,Apteronotidae,GYMNOTIFORMES
ADC,Acrochordonichthys chamaeleon,Akysidae,SILURIFORMES
ADD,Derichthys serpentinus,Derichthyidae,ANGUILLIFORMES
ADE,Allotoca dugesii,Goodeidae,CYPRINODONTIFORMES
ADF,Aspredinichthys filamentosus,Aspredinidae,SILURIFORMES
ADG,Anadoras grypus,Doradidae,SILURIFORMES
ADH,Amblyglyphidodon aureus,Pomacentridae,PERCOIDEI
ADI,Aplocheilus dayi,Aplocheilidae,CYPRINODONTIFORMES
ADJ,Pardachirus pavoninus,Soleidae,PLEURONECTIFORMES
ADK,Artedidraco skottsbergi,Artedidraconidae,PERCOIDEI
ADL,Antipodocottus elegans,Cottidae,SCORPAENIFORMES
ADM,Autanadoras milesi,Doradidae,SILURIFORMES
ADN,Nessorhamphus ingolfianus,Derichthyidae,ANGUILLIFORMES
ADO,Artediellus dydymovi,Cottidae,SCORPAENIFORMES
ADP,Austrofundulus dolichopterus,Aplocheilidae,CYPRINODONTIFORMES
ADQ,Antipathes dichotoma,Antipathidae,ANTHOZOA
ADR,Aspredo aspredo,Aspredinidae,SILURIFORMES
ADS,Arnoldichthys spilopterus,Alestidae,CHARACIFORMES
ADT,Pardachirus marmoratus,Soleidae,PLEURONECTIFORMES
ADU,Allodontichthys hubbsi,Goodeidae,CYPRINODONTIFORMES
ADV,Apuredoras rivasi,Doradidae,SILURIFORMES
ADW,Artedius corallinus,Cottidae,SCORPAENIFORMES
ADX,Adinia xenica,Fundulidae,CYPRINODONTIFORMES
ADY,Aspredo cotylephorus,Aspredinidae,SILURIFORMES
ADZ,Artedidraco glareobarbatus,Artedidraconidae,PERCOIDEI
AEA,Alestes lateralis,Alestidae,CHARACIFORMES
AEB,Alestes baremoze,Alestidae,CHARACIFORMES
AEC,Astronesthes cyclophotus,Stomiidae,STOMIIFORMES
AED,Alestes dentex,Alestidae,CHARACIFORMES
AEE,Einara edentula,Alepocephalidae,SALMONIFORMES
AEF,Apteronotus albifrons,Apteronotidae,GYMNOTIFORMES
AEG,Astronesthes gemmifer,Stomiidae,STOMIIFORMES
AEH,Alestopetersius brichardi,Alestidae,CHARACIFORMES
AEI,Auchenipterus nigripinnis,Auchenipteridae,SILURIFORMES
AEJ,Astronesthes indicus,Stomiidae,STOMIIFORMES
AEK,Herwigia kreffti,Alepocephalidae,SALMONIFORMES
AEL,Leptoderma lubricum,Alepocephalidae,SALMONIFORMES
AEM,Aethotaxis mitopteryx,Nototheniidae,PERCOIDEI
AEN,Ericara niger,Alepocephalidae,SALMONIFORMES
AEO,Astronesthes leucopogon,Stomiidae,STOMIIFORMES
AEP,Astronesthes neopogon,Stomiidae,STOMIIFORMES
AER,Aequidens rivulatus,Cichlidae,PERCOIDEI
AES,Pandalus montagui,Pandalidae,NATANTIA
AET,Aetapcus maculatus,Pataecidae,SCORPAENIFORMES
AEU,Auchenoceros punctatus,Moridae,GADIFORMES
AEV,Asemichthys taylori,Cottidae,SCORPAENIFORMES
AEW,Atherinosoma wallacei,Atherinidae,ATHERINIFORMES
AEX,Mastacembelus sexdecimspinus,Mastacembelidae,SYNBRANCHIFORMES
AEY,Apteronotus leptorhynchus,Apteronotidae,GYMNOTIFORMES
AEZ,Abyssocottus elochini,Abyssocottidae,SCORPAENIFORMES
AFA,Forbesichthys agassizi,Amblyopsidae,PERCOPSIFORMES
AFB,Aphyoplatys duboisi,Aplocheilidae,CYPRINODONTIFORMES
AFC,Atherinopsis californiensis,Atherinidae,ATHERINIFORMES
AFD,Aphanius dispar,Cyprinodontidae,CYPRINODONTIFORMES
AFE,Aplocheilichthys fuelleborni,Poeciliidae,CYPRINODONTIFORMES
AFF,Atherion africanus,Atherinidae,ATHERINIFORMES
